host,phage,assay,filter,dilution,ml.plated,counts,heat.min,group,date,no.ml,perc.survival,spore,colony
wt,SPO1,PFU,FALSE,1e-5,0.1,234,45,g1,20200716,233999999.99999997,69.02654867256638,viral spore,wt-col1
wt,SPO1,CFU,FALSE,1e-5,0.1,124,45,g1,20200716,123999999.99999999,72.51461988304094,infected host spore,wt-col1
wt,Goe2,PFU,FALSE,1e-4,0.1,77,45,g1,20200716,7699999.999999999,24.838709677419352,viral spore,wt-col1
wt,Goe2,CFU,FALSE,1e-4,0.1,202,45,g1,20200716,20200000,16.694214876033058,infected host spore,wt-col1
wt,noPhage,CFU,FALSE,1e-6,0.1,62,45,g1,20200716,620000000,92.53731343283582,non-infected host spore,wt-col1
dsspAB,SPO1,PFU,FALSE,1e-5,0.1,53,45,g1,20200716,52999999.99999999,5.047619047619047,viral spore,dsspAB-col1
dsspAB,SPO1,CFU,FALSE,1e-4,0.1,77,45,g1,20200716,7699999.999999999,8.75,infected host spore,dsspAB-col1
dsspAB,Goe2,PFU,FALSE,1e-5,0.1,52,45,g1,20200716,51999999.99999999,10.399999999999999,viral spore,dsspAB-col1
dsspAB,Goe2,CFU,FALSE,1e-4,0.1,153,45,g1,20200716,15299999.999999998,5.387323943661972,infected host spore,dsspAB-col1
dsspAB,noPhage,CFU,FALSE,1e-4,0.1,132,45,g1,20200716,13199999.999999998,1.9130434782608692,non-infected host spore,dsspAB-col1
wt,SPO1,PFU,FALSE,1e-6,0.1,53,45,g2,20200723,530000000,92.98245614035088,viral spore,wt-col2
wt,SPO1,CFU,FALSE,1e-5,0.1,94,45,g2,20200723,93999999.99999999,47.95918367346938,infected host spore,wt-col2
wt,Goe2,PFU,FALSE,1e-4,0.1,176,45,g2,20200723,17600000,19.340659340659343,viral spore,wt-col2
wt,Goe2,CFU,FALSE,1e-5,0.1,47,45,g2,20200723,46999999.99999999,24.736842105263158,infected host spore,wt-col2
wt,noPhage,CFU,FALSE,1e-5,0.1,201,45,g2,20200723,200999999.99999997,73.35766423357664,non-infected host spore,wt-col2
dsspAB,SPO1,PFU,FALSE,1e-4,0.1,176,45,g2,20200723,17600000,1.135483870967742,viral spore,dsspAB-col2
dsspAB,SPO1,CFU,FALSE,1e-4,0.1,56,45,g2,20200723,5600000,5.185185185185186,infected host spore,dsspAB-col2
dsspAB,Goe2,PFU,FALSE,1e-4,0.1,76,45,g2,20200723,7599999.999999999,1.1515151515151514,viral spore,dsspAB-col2
dsspAB,Goe2,CFU,FALSE,1e-4,0.1,233,45,g2,20200723,23299999.999999996,3.5303030303030294,infected host spore,dsspAB-col2
dsspAB,noPhage,CFU,FALSE,1e-5,0.1,70,45,g2,20200723,69999999.99999999,4.191616766467065,non-infected host spore,dsspAB-col2
wt,SPO1,PFU,FALSE,1e-6,0.1,39,45,g3,20200728,390000000,79.59183673469387,viral spore,wt-col3
wt,SPO1,CFU,FALSE,1e-5,0.1,226,45,g3,20200728,225999999.99999997,109.70873786407766,infected host spore,wt-col3
wt,Goe2,PFU,FALSE,1e-5,0.1,49,45,g3,20200728,48999999.99999999,100,viral spore,wt-col3
wt,Goe2,CFU,FALSE,1e-5,0.1,210,45,g3,20200728,209999999.99999997,77.77777777777779,infected host spore,wt-col3
wt,noPhage,CFU,FALSE,1e-6,0.1,84,45,g3,20200728,840000000,82.3529411764706,non-infected host spore,wt-col3
dsspAB,SPO1,PFU,FALSE,1e-5,0.1,173,45,g3,20200728,172999999.99999997,17.83505154639175,viral spore,dsspAB-col3
dsspAB,SPO1,CFU,FALSE,1e-4,0.1,71,45,g3,20200728,7099999.999999999,24.398625429553263,infected host spore,dsspAB-col3
dsspAB,Goe2,PFU,FALSE,1e-5,0.1,101,45,g3,20200728,100999999.99999999,17.71929824561403,viral spore,dsspAB-col3
dsspAB,Goe2,CFU,FALSE,1e-5,0.1,53,45,g3,20200728,52999999.99999999,24.766355140186914,infected host spore,dsspAB-col3
dsspAB,noPhage,CFU,FALSE,1e-5,0.1,75,45,g3,20200728,74999999.99999999,5.10204081632653,non-infected host spore,dsspAB-col3
