host,phage,spore.type,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj
dsspAB,SPO1,diff.pfu,0.0018935124875066878,0.2562133863899756,0.4108658871311598,2,-0.01968627004315176,Inf,One Sample t-test,greater,0.42358663987734496
dsspAB,SPO1,diff.cfu,0.009832976324583945,2.5819921890150375,0.061470861337247246,2,-0.0012871770213088677,Inf,One Sample t-test,greater,0.2627399397468824
wt,SPO1,diff.pfu,-3.069364114314614e-4,-0.21869867360907622,0.42358663987734496,2,-Inf,0.0037911675261691454,One Sample t-test,less,0.42358663987734496
wt,SPO1,diff.cfu,-0.0010826673265612596,-0.618117189971059,0.299754082826301,2,-Inf,0.004031853080203375,One Sample t-test,less,0.42358663987734496
dsspAB,Goe2,diff.pfu,0.004588714474421551,0.5348794197283662,0.32312002786440774,2,-0.020461754104975097,Inf,One Sample t-test,greater,0.42358663987734496
dsspAB,Goe2,diff.cfu,0.0069160246878290366,1.543264050332395,0.1313699698734412,2,-0.0061696765941269115,Inf,One Sample t-test,greater,0.2627399397468824
wt,Goe2,diff.pfu,-0.007800020210276444,-1.5798340916662206,0.12745877769357217,2,-Inf,0.006616649654375917,One Sample t-test,less,0.2627399397468824
wt,Goe2,diff.cfu,-0.009335848985262,-2.0039452475511745,0.09148379816125915,2,-Inf,0.004267588758677077,One Sample t-test,less,0.2627399397468824
