host,phage,assay,filter,dilution,ml.plated,counts,heat.min,group,date
wt,noPhage,CFU,FALSE,1.00E-06,0.1,76,0,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,80,10,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,105,20,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,53,30,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,76,40,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,62,0,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,40,10,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,119,20,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,46,30,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,69,40,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,171,0,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,142,10,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,86,20,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,93,30,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,39,40,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,148,0,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,199,10,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,114,20,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,80,30,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,69,40,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,130,0,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,100,10,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,84,20,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,80,30,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,80,40,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,81,0,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,134,10,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,29,20,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,44,30,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,6,40,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,90,0,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,125,10,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,107,20,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,63,30,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,35,40,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,133,0,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,117,10,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,105,20,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,65,30,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,53,40,preliminary,20200121
dsspAB,SPO1,PFU,FALSE,1.00E-06,0.1,79,0,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,71,10,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,93,20,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,23,30,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,2,40,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-03,0.1,40,0,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,60,10,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,1,20,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,0,30,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,0,40,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-05,0.1,68,0,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,219,10,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,176,20,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,67,30,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,42,40,preliminary,20200304
dsspAB,Goe2,PFU,FALSE,1.00E-06,0.1,35,0,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,183,10,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,89,20,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,37,30,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,27,40,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,TMC,0,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,3,10,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,20,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,30,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,40,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,101,0,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,221,10,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,93,20,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,59,30,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,34,40,preliminary,20200311
wt,SPO1,PFU,FALSE,1.00E-05,0.1,339,0,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-05,0.1,276,15,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-05,0.1,307,30,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-05,0.1,234,45,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-02,0.1,124,0,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-02,0.1,13,15,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-01,0.1,15,30,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-01,0.1,24,45,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,171,0,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,165,15,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,139,30,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,124,45,group.1,20200716
